1742872718.529013084,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872718.728523603,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872718.940415101,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872719.128130106,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872719.365969869,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872719.529800715,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872719.728863400,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872719.939626768,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872720.133381535,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872720.329154195,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872720.536201576,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872720.730838268,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872720.931074300,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872721.128093055,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872721.328532007,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872721.528025326,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872721.736095510,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872721.949476905,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872722.128866346,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872722.330694728,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872722.538123824,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872722.732143807,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872722.930586243,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872723.133709470,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872723.334363260,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872723.537905033,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872723.730086168,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872723.952042055,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872724.139495192,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872724.328454217,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872724.541777324,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872724.753097830,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872724.942071688,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872725.129524284,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872725.335479287,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872725.536600583,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872725.728547508,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872725.929813847,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872726.151638777,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872726.332334733,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872726.539937292,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872726.727975018,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872726.928509226,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872727.152719344,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872727.335860696,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872727.573165009,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872727.730033553,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872727.947971326,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872728.127601814,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
1742872728.331417176,"[5.0, 0.1, 0.0, 0.0, 0.0, 0.0, 1.0]"
